case_id,in_original_candidate72,staged_input_file_present,pseudo_output_present,status
sub-verse004,True,True,True,pseudo_generated
sub-verse005,True,True,True,pseudo_generated
sub-verse006,True,False,False,candidate_missing_from_staged_input_and_output
sub-verse008,True,True,True,pseudo_generated
sub-verse009,True,True,True,pseudo_generated
sub-verse014,True,True,True,pseudo_generated
sub-verse015,True,True,True,pseudo_generated
sub-verse031,True,True,True,pseudo_generated
sub-verse033,True,True,True,pseudo_generated
sub-verse034,True,True,True,pseudo_generated
sub-verse036,True,True,True,pseudo_generated
sub-verse043,True,True,True,pseudo_generated
sub-verse051,True,True,True,pseudo_generated
sub-verse056,True,True,True,pseudo_generated
sub-verse061,True,True,True,pseudo_generated
sub-verse063,True,True,True,pseudo_generated
sub-verse064,True,True,True,pseudo_generated
sub-verse065,True,True,True,pseudo_generated
sub-verse068,True,True,True,pseudo_generated
sub-verse072,True,True,True,pseudo_generated
sub-verse074,True,False,False,candidate_missing_from_staged_input_and_output
sub-verse075,True,True,True,pseudo_generated
sub-verse076,True,True,True,pseudo_generated
sub-verse082,True,True,True,pseudo_generated
sub-verse091,True,True,True,pseudo_generated
sub-verse096,True,True,True,pseudo_generated
sub-verse100,True,True,True,pseudo_generated
sub-verse102,True,True,True,pseudo_generated
sub-verse104,True,True,True,pseudo_generated
sub-verse107,True,True,True,pseudo_generated
sub-verse111,True,True,True,pseudo_generated
sub-verse112,True,True,True,pseudo_generated
sub-verse113,True,True,True,pseudo_generated
sub-verse122,True,True,True,pseudo_generated
sub-verse127,True,True,True,pseudo_generated
sub-verse133,True,True,True,pseudo_generated
sub-verse134,True,True,True,pseudo_generated
sub-verse135,True,True,True,pseudo_generated
sub-verse137,True,True,True,pseudo_generated
sub-verse139,True,True,True,pseudo_generated
sub-verse141,True,True,True,pseudo_generated
sub-verse145,True,True,True,pseudo_generated
sub-verse146,True,True,True,pseudo_generated
sub-verse151,True,True,True,pseudo_generated
sub-verse152,True,True,True,pseudo_generated
sub-verse207,True,True,True,pseudo_generated
sub-verse254,True,True,True,pseudo_generated
sub-verse257,True,True,True,pseudo_generated
sub-verse401_split-verse201,True,True,True,pseudo_generated
sub-verse401_split-verse253,True,True,True,pseudo_generated
sub-verse402_split-verse202,True,True,True,pseudo_generated
sub-verse402_split-verse251,True,True,True,pseudo_generated
sub-verse403_split-verse208,True,True,True,pseudo_generated
sub-verse403_split-verse255,True,True,True,pseudo_generated
sub-verse405_split-verse212,True,True,True,pseudo_generated
sub-verse405_split-verse258,True,True,True,pseudo_generated
sub-verse405_split-verse259,True,True,True,pseudo_generated
sub-verse406_split-verse214,True,True,True,pseudo_generated
sub-verse406_split-verse261,True,True,True,pseudo_generated
sub-verse407_split-verse215,True,True,True,pseudo_generated
sub-verse407_split-verse262,True,True,True,pseudo_generated
sub-verse408_split-verse223,True,True,True,pseudo_generated
sub-verse409_split-verse226,True,True,True,pseudo_generated
sub-verse409_split-verse266,True,True,True,pseudo_generated
sub-verse410_split-verse227,True,True,True,pseudo_generated
sub-verse410_split-verse267,True,True,True,pseudo_generated
sub-verse411_split-verse232,True,True,True,pseudo_generated
sub-verse411_split-verse270,True,True,True,pseudo_generated
sub-verse413_split-verse239,True,True,True,pseudo_generated
sub-verse413_split-verse272,True,True,True,pseudo_generated
sub-verse415_split-verse243,True,True,True,pseudo_generated
sub-verse415_split-verse275,True,True,True,pseudo_generated
