case_id,in_D129,in_D134,status,label_source
sub-verse004,True,True,retained,teacher_pseudo_label
sub-verse005,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse007,True,True,retained,ground_truth
sub-verse008,True,True,retained,teacher_pseudo_label
sub-verse009,True,True,retained,teacher_pseudo_label
sub-verse014,True,True,retained,teacher_pseudo_label
sub-verse015,True,True,retained,teacher_pseudo_label
sub-verse031,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse033,True,True,retained,teacher_pseudo_label
sub-verse034,True,True,retained,teacher_pseudo_label
sub-verse036,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse043,True,True,retained,teacher_pseudo_label
sub-verse046,True,True,retained,ground_truth
sub-verse048,True,True,retained,ground_truth
sub-verse051,True,True,retained,teacher_pseudo_label
sub-verse056,True,True,retained,teacher_pseudo_label
sub-verse060,True,True,retained,ground_truth
sub-verse061,True,True,retained,teacher_pseudo_label
sub-verse063,True,True,retained,teacher_pseudo_label
sub-verse064,True,True,retained,teacher_pseudo_label
sub-verse065,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse068,True,True,retained,teacher_pseudo_label
sub-verse072,True,True,retained,teacher_pseudo_label
sub-verse075,True,True,retained,teacher_pseudo_label
sub-verse076,True,True,retained,teacher_pseudo_label
sub-verse082,True,True,retained,teacher_pseudo_label
sub-verse088,True,True,retained,ground_truth
sub-verse091,True,True,retained,teacher_pseudo_label
sub-verse096,True,True,retained,teacher_pseudo_label
sub-verse097,True,True,retained,ground_truth
sub-verse100,True,True,retained,teacher_pseudo_label
sub-verse102,True,True,retained,teacher_pseudo_label
sub-verse104,True,True,retained,teacher_pseudo_label
sub-verse105,True,True,retained,ground_truth
sub-verse107,True,True,retained,teacher_pseudo_label
sub-verse111,True,True,retained,teacher_pseudo_label
sub-verse112,True,True,retained,teacher_pseudo_label
sub-verse113,True,True,retained,teacher_pseudo_label
sub-verse122,True,True,retained,teacher_pseudo_label
sub-verse127,True,True,retained,teacher_pseudo_label
sub-verse133,True,True,retained,teacher_pseudo_label
sub-verse134,True,True,retained,teacher_pseudo_label
sub-verse135,True,True,retained,teacher_pseudo_label
sub-verse137,True,True,retained,teacher_pseudo_label
sub-verse139,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse141,True,True,retained,teacher_pseudo_label
sub-verse145,True,True,retained,teacher_pseudo_label
sub-verse146,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse151,True,True,retained,teacher_pseudo_label
sub-verse152,True,True,retained,teacher_pseudo_label
sub-verse207,True,True,retained,teacher_pseudo_label
sub-verse254,True,True,retained,teacher_pseudo_label
sub-verse257,True,True,retained,teacher_pseudo_label
sub-verse401_split-verse201,True,True,retained,teacher_pseudo_label
sub-verse401_split-verse253,True,True,retained,teacher_pseudo_label
sub-verse402_split-verse202,True,True,retained,teacher_pseudo_label
sub-verse402_split-verse251,True,True,retained,teacher_pseudo_label
sub-verse403_split-verse208,True,True,retained,teacher_pseudo_label
sub-verse403_split-verse255,True,True,retained,teacher_pseudo_label
sub-verse405_split-verse212,True,True,retained,teacher_pseudo_label
sub-verse405_split-verse258,True,True,retained,teacher_pseudo_label
sub-verse405_split-verse259,True,False,removed_by_historical_filter,teacher_pseudo_label
sub-verse406_split-verse214,True,True,retained,teacher_pseudo_label
sub-verse406_split-verse261,True,True,retained,teacher_pseudo_label
sub-verse407_split-verse215,True,True,retained,teacher_pseudo_label
sub-verse407_split-verse262,True,True,retained,teacher_pseudo_label
sub-verse408_split-verse223,True,True,retained,teacher_pseudo_label
sub-verse408_split-verse265,True,True,retained,ground_truth
sub-verse409_split-verse226,True,True,retained,teacher_pseudo_label
sub-verse409_split-verse266,True,True,retained,teacher_pseudo_label
sub-verse410_split-verse227,True,True,retained,teacher_pseudo_label
sub-verse410_split-verse267,True,True,retained,teacher_pseudo_label
sub-verse411_split-verse232,True,True,retained,teacher_pseudo_label
sub-verse411_split-verse270,True,True,retained,teacher_pseudo_label
sub-verse413_split-verse239,True,True,retained,teacher_pseudo_label
sub-verse413_split-verse272,True,True,retained,teacher_pseudo_label
sub-verse415_split-verse243,True,True,retained,teacher_pseudo_label
sub-verse415_split-verse275,True,True,retained,teacher_pseudo_label
